Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
3HmongTV,2005,https://hbctv.net/,55106,"St. Paul, MN",Minnesota,(651) 442-7698,info@hbctv.net,Hmong American,"Hmong American,Asian American",,Hmong,Television,Television,Biweekly,Local,Local,"twitter.com/3hmoobtv
",https://www.facebook.com/3hmongtvnews/,"youtube.com/hbctelevision
",verified
285 South,2021,https://285south.com/,30310,"Atlanta, GA",Georgia,,sophia@285south.com,AAPI,"Asian American,Pacific Islander,Multiethnic","Refugees and Immigrants
",English,Newsletter,"Newsletter,Website",Weekly,Local,Local,https://x.com/Sophia285South,https://www.facebook.com/285SouthATL,,
A Lotus in the Mud,2022,https://alotusinthemud.com/,,"Hicksville, NY",New York,(516) 710-0508,lotus4usa@gmail.com,AAPI,"Indian American,South Asian American,Asian American,Pacific Islander",Wellness and Spirituality,English,Website,"Digital Magazine,Newsletter,Website",Daily,National,National,https://twitter.com/ALotusInTheMud9,https://facebook.com/lotusface/,https://youtube.com/channel/UCXI4LAM2iUAtJWN7BaRpBug,verified
AATTV (Asian American Television),1993,http://aattv.com/,98005,"Bellevue, WA",Washington,(206) 447-2288,info@aattv.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional),Mandarin",Television,"Television,Website",24/7,National,"Local,National",https://twitter.com/Aattv2,https://www.facebook.com/aattvseattle,https://www.youtube.com/@AATTVSeattle,
Adaleti: SJAC Analysis and Human Rights Digest,2022,https://syriaaccountability.org/tag/articles/,20006,"Washington, D.C.","Washington, D.C.",, info@syriaaccountability.org,Syrian American,"Syrian American,Arab American",Human Rights,"Arabic,English",Website,"Podcast,Reports,Website",Biweekly,Diasporic,Diasporic,https://x.com/SJAC_info,https://www.facebook.com/SyriaAccountability/,www.youtube.com/@sjac_arabic,
Afikra,2014,https://www.afikra.com/,,"New York, NY",New York,,hello@afikra.com,Arab American,Arab American,Arab Culture and History,English,Podcast,"Podcast,Television,Website",Daily,Diasporic,Diasporic,https://twitter.com/afikra,https://www.facebook.com/afikra.official,https://www.youtube.com/@afikra,
Akhon Samoy,2000,https://akhonsamoy.com/,11372,"New York, NY",New York,(718) 565-9099,news@akhonsamoy.com,Bangladeshi American,Bangladeshi American,,Bangla,Newspaper,"Newspaper,Newsletter,Website",Weekly,Local,"Local,National",https://twitter.com/akhonsamoy,https://www.facebook.com/akhon.samoy,https://www.youtube.com/@voicesofworld,verified
Al Akhbar,1995,https://alakhbar-usa.com/news/,91740,"Glendora, CA",California,(626) 852-2722,alakhbarusa@yahoo.com,Arab American,"Syrian American,Lebanese American,Palestinian American,Egyptian American,Arab American",,Arabic,Newspaper,"Newspaper,Website",Monthly,Local,Local,,https://www.facebook.com/alakhbar.newspaper/,,
Al Enteshar,1999,https://alentesharnewspaper.com,90039,"Los Angeles, CA",California,(323) 669-8838,alenteshar@yahoo.com,Arab American,Arab American,Muslim,"Arabic,English",Newspaper,"Newspaper,Website",Bimonthly,Local,Local,,https://www.facebook.com/ALENTESHARNEWSPAPER,,verified
Al Hawadeth for Arab Americans,2013,https://alhawadeth.net/,07015,"Clifton, NJ",New Jersey,(201) 887-7134,alhawadeth@gmail.com,Arab American,Arab American,,"Arabic,English",Newspaper,"Newspaper,Website",Weekly,Local,Local,https://twitter.com/alhawadeth,https://www.facebook.com/groups/654717124585282/,,verified
