Estado,State,Medio,Media Outlet,Ciudad,City,Dirección,Zip Code,Latitud,Longitud,Formato,Format,Idioma,Language,Contenido,Content,Web,Año de fundación ,Dueño/Tipo de propiedad,Owner/Type of Ownership,Audiencia/circulación,Audience/circulation,Fuentes de ingresos,Sources of Revenue,Número de empleados/Number of employees,Frecuencia,Frequency,Facebook,Twitter,Instagram,YouTube,Otra red social
Alabama,Alabama,Latino News,Latino News,Trussville,Trussville,PO Box 1313,35173,33.637321,-86.560208,Periódico,Newspaper,Español,Spanish,Noticias,News,http://www.latino-news.com/,1996,"Latino News, LLC","Latino News, LLC",,,,,,Semanario,Weekly,https://www.facebook.com/LatinoNewspaper/,https://twitter.com/latinonews1,,,
Alabama,Alabama,Alabama TV,Alabama TV,Hoover,Hoover,"2105 Lorna Ridge Lane, Suite 151",35216,33.391113,-86.796007,TV,TV,Español,Spanish,"Noticias, Deportes","News, Sports",https://www.alabamatv.info/,2016,,,,,,,,,,https://www.facebook.com/alabamatv/,https://twitter.com/AlabamaTv,https://www.instagram.com/alabamatv/,https://www.youtube.com/channel/UCdXIk0_d5kv_pnnVifIPEXA?sub_confirmation=1,
Alabama,Alabama,Líder News,Líder News,Birmingham,Birmingham,PO Box 360535,35236,33.370188,-86.809721,Periódico,Newspaper,Español,Spanish,"Noticias, Deportes","News, Sports",,2012,Medio local independiente,Local independent outlet,"Impreso: 10,000-19,999","Print: 10,000-19,999",Publicidad,Advertising,6-10,Semanal,Weekly,https://www.facebook.com/lidernews.alabama/,,,,
Alaska,Alaska,KDMD Telemundo Alaska,KDMD Telemundo Alaska,Anchorage,Anchorage,1310 E. 66th Ave.,99518,61.161005,-149.85732,TV,TV,Español,Spanish,"Noticias, Entretenimiento, Deportes","News, Entertainment, Sports",http://www.telemundoalaska.com/,2006,Ketchikan Television LLC.,Ketchikan Television LLC.,,,,,,,,https://www.facebook.com/Telemundo-Alaska-166204037463565/,https://twitter.com/telemundoalaska,,,
Alaska,Alaska,Sol de Medianoche,Sol de Medianoche,Anchorage,Anchorage,PO Box 93466,99501,61.233689,-149.85178,Periódico,Newspaper,Español/Inglés,Spanish/English,"Noticias, Arte y Cultura, Comentario","News, Arts and Culture, Commentary",http://www.soldemedianochenews.org/,2016,Medio local independiente,Local independent outlet,"Impreso: -5,000","Print: -5,000",Publicidad,Advertising,1-5,Diario,Daily,https://www.facebook.com/soldemedianochenews/,,,,
Arizona,Arizona,Arizona Bilingual ,Arizona Bilingual ,Tucson,Tucson,"245 South Plumer Ave., Suite 14",85719,32.2189966,-110.9386021,Revista,Magazine,Español/Inglés,Spanish/English,,,http://azbilingual.com/,2003,Global Multi-Media Group,Global Multi-Media Group,"Impreso: 25,000 ","Print: 25,000 ",Publicidad,Advertising,,Monthly,Monthly,https://www.facebook.com/arizonabilingual.news/,https://twitter.com/TheAZB,https://www.instagram.com/explore/tags/azbilingualnewspaper/,https://www.youtube.com/user/ArizonaSonoraMagazin,
Arizona,Arizona,Bajo El Sol,Bajo El Sol,Yuma,Yuma,2055 Arizona Ave.,85364,32.690206,-114.61549,Periódico,Newspaper,Español,Spanish,,,http://www.yumasun.com/bajo_el_sol/,,Rhode Island Suburban Newspapers Inc. ,Rhode Island Suburban Newspapers Inc. ,,,,,,,,https://www.facebook.com/BajoElSolNoticias/,https://twitter.com/bajo_el_sol?lang=en,,,
Arizona,Arizona,KTVW Univisión 33,KTVW Univisión 33,Phoenix,Phoenix,6006 S 30th St.,85042,33.393125,-112.01859,TV,TV,Español,Spanish,,,http://www.Univision.com/arizona/ktvw,,Univision ,Univision ,,,,,,,,https://www.facebook.com/UnivisionArizona,https://twitter.com/UnivisionAZ,https://www.instagram.com/Univisionaz/?hl=en,,
Arizona,Arizona,La Voz Arizona,La Voz Arizona,Phoenix,Phoenix,200 E Van Buren St. ,85004,33.45186,-112.07084,Periódico,Newspaper,Español,Spanish,,,http://www.lavozarizona.com/,,Gannett,Gannett,,,,,,,,https://www.facebook.com/LaVozArizona,https://twitter.com/LaVozaz,,,
Arizona,Arizona,La Estrella de Tucson,La Estrella de Tucson,Tucson,Tucson,4850 S Park Ave.,85714,32.16434,-110.95832,Periódico,Newspaper,Español,Spanish,,,http://tucson.com/laestrella/,,Lee Enterprises,Lee Enterprises,,,,,,,,https://www.facebook.com/LaEstrellaDeTucson/,https://twitter.com/LaEstrella,,,
Arizona,Arizona,Telemundo 39,Telemundo 39,Phoenix,Phoenix,4625 S 33rd Pl,85040,33.4041789,-112.00921,TV,TV,Español,Spanish,,,http://www.telemundoarizona.com/,,NBC Universal,NBC Universal,,,,,,,,https://www.facebook.com/TELEMUNDOAZ/,https://twitter.com/TelemundoAZ,https://www.instagram.com/telemundoaz/?hl=en,,
Arizona,Arizona,Telemundo 40,Telemundo 40,Tucson,Tucson,5151 E Broadway Blvd #650,85711,32.2228334,-110.88267,TV,TV,Español,Spanish,,,http://www.telemundoarizona.com/,,NBC Universal,NBC Universal,,,,,,,,https://www.facebook.com/TELEMUNDOAZ/,https://twitter.com/TelemundoAZ,https://www.instagram.com/telemundoaz/?hl=en,,
Arizona,Arizona,KFPH UniMás 13,KFPH UniMás 13,Phoenix,Phoenix,6006 S 30th St.,85042,33.392901,-112.01854,TV,TV,Español,Spanish,,,https://www.Univision.com/unimas,,,,,,,,,,,,,,,
Arizona,Arizona,Univisión 46,Univisión 46,Tucson,Tucson,"2301 N. Forbes Blvd., Suite 103",85745,32.249005,-110.99625,TV,TV,Español,Spanish,,,https://www.Univision.com/arizona/ktvw,,Univision ,Univision ,,,,,,,,https://www.facebook.com/UnivisionArizona,https://twitter.com/UnivisionAZ,https://www.instagram.com/univisionaz/,,
Arizona,Arizona,KAJB UniMás 54,KAJB UniMás 54,El Centro,El Centro,1803 N. Imperial Ave.,92243,32.841574,-115.56974,TV,TV,Español,Spanish,,,,,Calipatria Broadcasting Company ,Calipatria Broadcasting Company ,,,,,,,,,,,,
Arizona,Arizona,KVPA Estrella 42,KVPA Estrella 42,Phoenix,Phoenix,,,34.30777,-112.39012,TV,TV,Español,Spanish,,,http://www.estrellatv.com/,,Liberman Broadcasting,Liberman Broadcasting,,,,,,,,,,,,
