domain,media_name,state_abbr,language,target_community
wzzaradio.com,WZZA(AM),AL,english,African American
greenecodemocrat.com,Greene County Democrat,AL,english,African American
birminghamtimes.com,Birmingham Times,AL,english,African American
myv949.com,WATV,AL,english,African American
103weup.com,WEUP,AL,english,African American
speakinoutweeklynews.net,Speakin' Out Weekly,AL,english,African American
soldemedianochenews.org,Sol de Medianoche,AK,spanish,Latino
navajotimes.com,Navajo Times,AZ,english,Native American
nhonews.com,Navajo-Hopi Observer,AZ,english,Native American
srpmic-nsn.gov,O'Odham Action News,AZ,english,Native American
azinformant.com,Arizona Informant,AZ,english,African American
prensaarizona.com,Prensa Arizona,AZ,spanish,Latino
telemundoarizona.com,Telemundo 39,AZ,spanish,Latino
telemundo40.com,Telemundo 40,AZ,spanish,Latino
univision.com,Univisión 46,AZ,spanish,Latino
yumasun.com,Bajo El Sol,AZ,spanish,Latino
force3radio.com,KCLT/WNEV/KAKJ,AR,english,African American
latinotvar.com,Univisión Arkansas,AR,spanish,Latino
laprensalibrear.com,La Prensa Libre del Noreste de Arkansas,AR,spanish,Latino
alamedapost.com,Oakland Post – Alameda,CA,english,African American
visionhispanausa.com,Visión Hispana,CA,spanish,Latino
eltimpano.org,El Tímpano,CA,english,Latino
indiawest.com,India-West,CA,english,Asian American
kidefm.org,Hoopa Radio,CA,english,Native American
elpopular.pe,El Popular,CA,spanish,Latino
laopinion.com,La Opinión,CA,spanish,Latino
lasentinel.net,Los Angeles Sentinel,CA,english,African American
news4usonline.com,Compton Bulletin,CA,english,African American
ourweekly.com,Our Weekly,CA,english,African American
sgvtribune.com,Pasadena San Gabriel Valley – Latino Journal,CA,english,African American
lafocusnews.com,L.A. Focus Newspaper,CA,english,African American
lawattstimes.com,L.A. Watts Times,CA,english,African American
afrolanews.org,AfroLA,CA,english,African American
alentesharnewspaper.com,Alenteshar Newspaper,CA,english,Arab– American
elaviso.com,El Aviso,CA,spanish,Latino
pacenewsonline.com,Pace News,CA,english,African American
telemundo52.com,Telemundo 52 Los Ángeles,CA,spanish,Latino
hiplatina.com,HipLatina,CA,english,Latino
lataco.com,L.A. Taco,CA,english,Latino
laprensadelosangeles.com,La Prensa de Los Ángeles,CA,spanish,Latino
wearemitu.com,Mitú,CA,english,Latino
excelsior.com.mx,Excélsior,CA,spanish,Latino
asbarez.com,Asbarez Daily,CA,english,Other
asianjournal.com,Asian Journal,CA,english,Asian American
balita.com,Weekend Balita/Midweek Balita,CA,english,Asian American
lanuevavoz.net,La Nueva Voz,CA,bi-lingual,Latino
sanfernandosun.com,The San Fernando Valley Sun/El Sol Newspapers,CA,bi-lingual,Latino
kjlhradio.com,KJLH,CA,english,African American
italoamericano.org,L'Italo-Americano,CA,english,Other
rafu.com,The Rafu Shimpo,CA,japanese,Asian American
corriere.it,Il Corriere Di Los Angeles,CA,italian,Other
comptonherald.org,Compton Herald,CA,english,African American
pocho.com,Pocho,CA,spanish,Latino
etianguis.com,El Tianguis,CA,spanish,Latino
cronicasnews.com,Crónicas Newspaper,CA,spanish,Latino
nguoi-viet.com,Nguoi Viet News,CA,vietnamese,Asian American
miniondas.com,Miniondas,CA,spanish,Latino
blackvoicenews.com,Black Voice News,CA,english,African American
laprensacolombiana.com,La Prensa Colombiana,CA,spanish,Latino
telemundo33.com,Telemundo 33 Sacramento,CA,spanish,Latino
sacobserver.com,Sacramento Observer,CA,english,African American
hmongdailynews.com,Hmong Daily News,CA,english,Asian American
precinctreporter.com,Precinct Reporter,CA,english,African American
sb-american.com,San Bernardino American News,CA,english,African American
hot1039.com,KHTI,CA,english,African American
sandiegoyuyu.com,San Diego Yu Yu,CA,japanese,Asian American
ellatinoonline.com,El Latino San Diego,CA,spanish,Latino
ksdy50.com,KSDY,CA,english,African American
telemundo20.com,Telemundo 20,CA,spanish,Latino
laprensa.org,La Prensa San Diego,CA,bi-lingual,Latino
sdvoice.info,San Diego Voice & Viewpoint,CA,english,African American
thesunreporter.com,San Francisco Sun Reporter,CA,english,African American
sfbayview.com,San Francisco Bay View,CA,english,African American
windnewspaper.com,Wind Newspaper,CA,chinese,Asian American
jweekly.com,J. The Jewish News of Northern Cal,CA,english,Jewish
kpoo.com,KPOO,CA,english,African American
russianlife.com,Russian Life,CA,english,Other
latinotimes.org,Latino Times,CA,spanish,Latino
pnewstoday.com,Philippine News,CA,english,Asian American
latinocc.com,El Latino Cental Coast,CA,spanish,Latino
